Metry_kwadratowe,Liczba_pokoi,Podworko,Basen,Pietra,Kod_pocztowy,Prestiz,Liczba_poprzednich_wlascicieli,Zbudowany,Instalacja_odgromowa,Piwnica,Strych,Garaz,Magazyn,Goscinny,Cena
70429,19,1,1,90,38045,3,7,1990,0,8435,2429,292,1,4,7055052.0
39223,36,0,1,17,39489,8,6,2012,1,2009,4552,757,0,1,3926647.2
86929,100,1,0,11,98155,3,4,2003,0,6326,4748,654,0,10,8696869.3
39686,42,0,0,15,71019,5,8,2021,1,5198,5342,591,1,3,3970892.1
96470,74,1,0,21,92029,4,2,2011,1,5414,1172,716,1,9,9652258.1
99371,31,1,1,16,96297,7,8,2013,1,3258,6296,354,1,8,9944705.3
25966,37,1,1,17,22818,3,1,2016,0,8257,2557,162,0,6,2604486.6
28795,64,1,1,50,97667,3,4,2009,1,9862,2666,330,1,0,2888047.9
92383,12,0,0,78,71982,3,7,2000,0,7507,9056,892,1,1,9244344.0
34782,47,0,0,73,35331,1,4,2020,1,9586,6604,822,0,2,3482594.0
13386,51,0,0,90,87978,4,6,1993,0,2885,1149,904,1,4,1342509.3
20883,56,0,0,54,85377,5,9,2018,0,9982,8142,670,1,10,2091505.8
11844,43,0,0,55,46144,6,5,1993,0,5292,8233,395,0,10,1189939.3
85443,40,1,1,54,339,3,1,2021,0,3056,8928,292,1,2,8555234.1
11412,78,0,0,79,73807,1,5,2009,1,6899,8997,695,0,0,1145642.9
24239,87,1,0,91,73056,4,7,1998,0,6656,7149,698,0,3,2427801.8
66569,59,1,1,56,15574,7,9,2016,1,2020,7188,269,1,10,6667802.6
84559,29,0,1,69,53057,7,7,2000,0,3573,9556,918,1,8,8460604.0
28749,39,0,1,53,80821,6,5,1996,0,8113,2352,982,1,3,2877997.6
76091,38,1,0,32,59451,5,8,2016,0,8150,6037,930,0,7,7614076.6
92696,49,1,0,38,74381,9,2,2021,0,1559,5111,957,1,2,9272740.1
46988,66,1,1,27,4863,9,10,1991,1,8339,6331,874,1,4,4707341.1
59800,47,0,1,27,44815,6,9,2021,0,5075,3104,864,0,4,5984462.1
70021,52,1,0,28,95678,4,6,1992,1,4480,6919,680,1,1,7005572.2
31421,29,0,1,68,67505,5,3,1999,1,8949,2080,630,0,5,3147829.9
33108,82,0,1,83,52015,6,10,2016,0,6250,8751,552,1,2,3316069.6
93876,60,0,1,70,5484,2,1,1999,1,4086,5991,494,1,8,9390891.9
67040,60,1,1,22,1690,4,8,1993,0,4817,5222,927,0,0,6714247.3
39090,57,1,0,74,2922,4,9,2010,0,3572,8722,811,1,6,3917691.0
41998,74,1,0,17,32039,6,1,1990,0,6838,4925,828,0,9,4203344.0
84016,15,1,0,55,63595,1,7,2016,0,3284,9879,641,0,2,8410054.6
66621,48,0,0,89,52165,10,1,1995,1,5024,8103,388,1,4,6666403.5
73314,43,0,1,38,49895,10,1,2018,1,3281,5020,968,0,8,7336538.8
59972,28,0,1,18,32083,9,8,2021,1,8384,7226,226,1,4,6000826.1
71591,20,1,0,58,46834,7,4,1998,0,6486,3310,366,0,0,7165980.8
92462,52,1,1,46,22405,9,6,2019,0,9584,8587,677,0,8,9257840.9
52325,60,1,1,24,76804,6,5,1992,0,8987,3149,808,1,4,5238533.2
61534,73,1,0,97,22943,9,5,2001,0,9265,8974,755,1,6,6159875.1
84091,50,0,1,72,22718,7,5,1993,0,2668,4669,766,0,8,8414104.3
42059,46,0,1,62,43289,6,3,2017,1,8827,1853,860,1,3,4212125.7
33749,74,0,1,38,73976,10,7,1999,1,1729,7952,616,1,2,3380855.9
51434,64,0,0,23,79754,10,2,2012,1,2080,9575,753,0,7,5146226.2
78960,55,0,1,76,23408,8,4,2015,1,7126,5012,974,1,0,7900996.5
81870,60,0,1,100,58048,3,8,2020,0,3632,5960,723,1,3,8198185.0
23177,19,0,0,52,69373,4,1,2003,0,2706,4593,648,1,6,2318776.3
39517,92,0,0,85,51212,4,6,2019,1,7618,1172,810,1,9,3953491.9
53735,49,0,1,92,2423,4,7,2006,0,8654,9588,290,1,8,5384554.6
67753,72,1,1,78,31721,3,9,1995,1,7480,2068,929,0,6,6789580.5
82141,93,1,1,61,74213,3,7,2019,1,8785,6602,968,1,4,8225970.9
17868,73,1,0,35,48674,4,9,2013,0,1718,5498,710,1,2,1792308.3
71397,71,0,0,93,68199,3,10,1995,1,3477,5530,342,0,2,7145471.5
23841,71,1,1,25,32106,3,7,2010,1,7590,5224,564,1,1,2390804.0
61484,91,1,0,94,87015,8,8,2013,0,5486,3641,766,0,3,6154833.3
57160,15,1,1,43,40786,8,8,2002,0,4018,4871,836,1,2,5724102.2
27351,77,0,0,36,98465,4,1,1997,1,1150,3100,812,1,0,2738851.7
18466,50,0,1,60,89670,5,2,2020,0,2475,1376,568,0,5,1849227.0
45441,29,1,0,66,21239,3,5,2004,1,8121,2996,853,0,6,4552319.4
55933,15,0,0,97,5800,9,8,2001,1,7369,6739,686,1,6,5599976.1
81936,68,0,0,92,6143,3,1,2011,0,6393,9082,734,0,0,8198107.1
18237,70,1,0,74,25093,9,6,2011,0,7173,9144,498,1,9,1833338.1
99683,12,1,0,77,18300,5,8,2002,1,4034,2877,787,1,6,9977000.2
47664,44,0,0,77,98008,6,3,2010,1,2662,5433,417,0,6,4770073.0
18470,20,1,1,73,9406,3,1,2000,0,4089,9245,905,1,6,1852115.0
36031,63,1,0,47,74698,9,8,2001,1,9701,1325,514,0,4,3612495.1
43944,40,1,0,69,5581,10,5,2012,1,7466,6556,735,1,6,4403326.2
73062,34,1,1,38,44770,4,8,2016,0,9823,7174,728,1,0,7313447.6
84284,76,0,0,39,55723,5,1,1998,0,4500,4877,480,0,6,8432554.8
11410,96,0,1,96,85454,8,3,2019,1,1466,3642,933,1,1,1150663.9
29855,63,0,0,23,78080,5,5,2000,1,3861,7495,204,0,6,2987645.0
46716,94,0,0,58,25303,8,5,2008,1,1361,6855,409,0,3,4674140.8
77046,69,1,0,85,43517,4,2,1992,1,8135,1401,648,0,3,7714235.2
69165,66,1,0,74,51371,4,4,2009,1,1543,9736,939,1,9,6926290.9
57915,25,0,1,84,87517,10,4,2007,1,3394,4287,640,0,5,5800324.7
16068,21,1,0,13,21716,8,8,1991,1,8893,2564,463,0,2,1611707.1
74325,50,1,1,58,91978,8,10,1994,1,4008,1952,275,0,5,7443433.4
35742,46,1,1,47,84138,7,1,2014,1,1732,6019,243,0,7,3581003.4
99854,82,0,0,64,82741,3,8,2009,1,4827,2626,918,0,7,9989598.9
33743,56,1,1,29,21945,10,8,2006,1,7330,3012,345,0,6,3382812.6
72798,22,1,1,30,61212,9,3,2007,0,2209,2120,637,0,7,7290431.7
86492,21,0,0,86,42450,3,7,1992,0,7843,5348,463,0,0,8654049.2
38937,35,0,1,77,2867,2,6,2013,1,1312,1272,794,0,1,3901433.3
24762,22,0,1,62,50367,10,10,1999,1,5264,3986,502,1,1,2480900.9
55527,64,0,1,44,61931,4,2,2005,1,9385,9507,786,1,9,5557814.5
70606,17,1,1,79,38,7,3,2017,0,4927,1285,197,0,5,7070662.7
67327,47,0,0,87,26709,9,3,1990,1,1097,8551,964,0,10,6741466.0
71833,37,0,1,51,58147,2,5,2013,0,3772,2045,580,1,6,7185318.3
16669,95,1,1,81,15949,4,3,2007,1,6109,1409,239,1,1,1676719.7
84006,73,1,1,97,54296,4,7,2000,0,9698,6310,837,0,4,8409827.0
34059,49,0,0,90,63489,4,8,1993,1,4138,5337,347,0,2,3412619.3
38398,84,0,0,22,44513,6,8,1994,0,1618,9458,404,0,8,3842545.4
41488,22,0,0,59,2019,9,1,2013,1,2090,4438,650,0,3,4151539.3
45066,28,0,0,62,85825,9,5,2013,0,7092,6757,924,1,0,4508367.3
63875,53,1,1,14,54408,7,3,1999,0,4139,7178,152,0,6,6394774.9
51457,64,0,1,32,68294,3,10,2016,0,3016,1891,633,1,4,5150600.6
84396,64,0,0,96,88421,6,7,2015,1,7416,6190,593,1,2,8449333.5
64920,98,0,1,63,1173,8,8,2016,0,2287,8181,426,1,6,6501809.6
87267,75,1,0,81,57714,6,10,2019,0,6899,1628,666,1,4,8731940.9
96091,100,0,1,24,99874,10,3,1999,0,6546,4094,373,0,6,9615021.9
20468,100,1,0,34,63924,6,4,2003,1,9659,6233,802,0,0,2049846.3
75152,91,1,0,37,61836,3,3,2018,0,4717,5685,412,0,2,7518709.8
45868,72,1,1,69,33082,5,7,1994,1,7668,9908,216,0,10,4600708.4
29951,37,1,1,13,56604,6,8,1995,1,5692,9582,762,0,0,3002371.5
59517,38,1,0,69,93928,8,8,2003,0,6831,2741,727,1,6,5958698.3
98969,26,1,0,69,36941,10,8,2003,0,3744,5809,992,1,5,9902968.3
99177,49,0,0,41,5100,6,10,2021,1,6326,6738,429,1,3,9919217.1
67429,60,0,1,24,89820,8,7,1991,0,3578,3600,858,1,1,6749654.1
38431,57,1,0,60,69199,9,3,2020,0,4121,3307,374,0,8,3848467.0
72495,76,1,1,59,8723,8,10,1994,0,3413,2245,254,1,0,7259025.4
85362,77,1,0,19,40604,6,5,1997,0,7728,8516,186,1,4,8541211.7
13687,36,1,1,93,2400,3,5,2001,1,4148,6383,590,0,5,1376329.1
98121,38,0,1,57,20289,7,4,1995,1,6028,8690,275,0,2,9817494.5
57736,16,0,0,21,83855,9,6,1999,1,6099,1511,588,0,2,5775940.9
34746,12,1,0,15,57668,10,5,2000,0,2840,3137,377,0,4,3478332.0
