Season,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
jan,-0.03,-0.17,-0.14,-0.13,-0.14,-0.13,0.03,-0.24,0.22,0.2,0.09,0.1,0.43,0.05,0.03,-0.12,0.52,-0.03,0.22,0.39,0.25,0.24,0.51,0.29,0.37,0.16,0.39,0.54,0.16,0.35,0.26,0.34,0.3,0.19,0.29,0.22,0.25,0.55,0.37,0.11,0.34,0.52,0.57,0.5,0.54,0.47,0.58,0.27,0.46,0.7,0.42,0.3,0.57,0.54,0.53,0.8,0.66,0.49,0.66
feb,0.08,-0.07,-0.14,-0.17,0.02,-0.12,-0.04,-0.13,0.11,0.17,-0.1,0.17,0.21,-0.18,0.06,-0.01,0.34,0.16,0.16,0.38,0.22,0.15,0.51,0.26,0.22,0.42,0.36,0.43,0.19,0.33,0.43,0.3,0.21,0.1,0.38,0.37,0.21,0.72,0.27,0.22,0.42,0.42,0.6,0.53,0.48,0.51,0.5,0.16,0.36,0.73,0.4,0.4,0.46,0.38,0.61,0.79,0.75,0.45,0.78
mar,-0.04,-0.09,-0.16,-0.1,-0.16,0.07,-0.14,-0.05,0.22,0.19,-0.08,0.04,0.26,-0.14,0.14,-0.12,0.22,0.17,0.2,0.52,0.28,0.01,0.41,0.35,0.35,0.34,0.37,0.56,0.25,0.42,0.25,0.41,0.34,0.09,0.34,0.33,0.28,0.54,0.36,0.26,0.35,0.64,0.53,0.4,0.54,0.48,0.49,0.34,0.48,0.74,0.42,0.44,0.53,0.35,0.59,0.81,0.8,0.59,0.78
apr,0.12,-0.13,-0.18,-0.32,-0.12,-0.04,-0.15,-0.11,0.31,0.13,0.06,0.12,0.36,-0.13,0.02,-0.17,0.27,0.26,0.47,0.46,0.26,0.13,0.5,0.19,0.27,0.3,0.42,0.42,0.26,0.42,0.46,0.39,0.32,0.34,0.22,0.48,0.18,0.4,0.1,0.24,0.41,0.66,0.49,0.52,0.42,0.34,0.44,0.42,0.52,0.56,0.45,0.38,0.4,0.51,0.5,0.74,0.69,0.81,0.78
may,0.17,-0.15,-0.07,-0.39,-0.1,-0.19,0.04,-0.23,0.26,-0.06,0.01,0.09,0.36,0.11,0.32,-0.15,0.42,0.24,0.07,0.45,0.31,0.27,0.63,0.42,0.2,0.23,0.29,0.45,0.12,0.41,0.36,0.44,0.25,0.17,0.13,0.2,0.27,0.7,0.16,0.17,0.46,0.77,0.5,0.22,0.49,0.2,0.66,0.38,0.65,0.58,0.41,0.6,0.44,0.82,0.56,0.8,0.91,0.63,0.72
jun,0.05,0.19,0.13,0.01,0.04,-0.04,-0.1,-0.14,0.11,-0.06,-0.2,0.18,0.21,0.08,0.05,-0.05,0.31,0.11,0.2,0.23,0.3,0.11,0.35,-0.03,0.29,0.1,0.53,0.4,0.1,0.28,0.59,0.47,0.24,0.45,0.36,0.26,0.6,0.82,0.37,0.36,0.52,0.39,0.42,0.4,0.5,0.5,0.57,0.36,0.62,0.52,0.49,0.36,0.61,0.54,0.58,0.5,0.52,0.69,0.63
jul,-0.04,-0.06,0.02,0.04,-0.08,0.06,-0.01,-0.17,-0.13,0.07,-0.03,0.08,0.22,0.07,0.05,0.07,0.32,0.16,0.03,0.31,0.54,0.25,0.18,0.29,0.15,0.24,0.56,0.24,0.36,0.58,0.52,0.27,0.38,0.27,0.54,0.44,0.27,0.58,0.41,0.36,0.55,0.56,0.48,0.04,0.48,0.39,0.54,0.59,0.79,0.38,0.68,0.32,0.51,0.4,0.56,0.66,0.68,0.75,0.86
aug,-0.04,-0.06,0.3,-0.2,0.12,-0.3,-0.06,-0.09,0.03,-0.15,0.13,0.4,0.08,0.31,-0.2,-0.03,0.33,-0.12,0.3,0.28,0.53,0.15,0.46,0.33,0.34,0.27,0.24,0.52,0.4,0.28,0.43,0.23,0.2,0.11,0.37,0.77,0.36,0.59,0.33,0.38,0.31,0.51,0.43,0.37,0.52,0.73,0.47,0.34,0.66,0.48,0.77,0.55,0.64,0.75,0.61,0.92,0.73,0.67,0.81
sep,0.19,0.03,0.22,-0.31,-0.09,-0.12,-0.1,-0.32,0.13,0.27,0.02,0.3,0.26,0.01,0.02,-0.01,-0.08,0.12,0.31,0.31,0.16,0.23,0.49,0.46,0.23,0.09,0.33,0.46,0.45,0.05,0.52,0.17,0.3,0.31,0.25,0.45,0.54,0.24,0.36,0.41,0.47,0.63,0.47,0.41,0.52,0.48,0.52,0.65,0.59,0.56,0.4,0.59,0.83,0.91,0.55,0.6,0.54,0.65,0.65
oct,0.03,-0.1,-0.12,-0.32,-0.08,-0.23,-0.13,0.18,0.17,0.25,0.06,0.2,0.27,0.11,-0.06,0.04,0.09,0.06,0.29,0.15,0.02,0.27,0.22,0.19,0.21,0.22,0.44,0.51,0.33,0.41,0.29,0.29,0.34,0.3,0.35,0.34,0.59,0.3,0.28,0.25,0.41,0.55,0.48,0.51,0.55,0.44,0.34,0.49,0.52,0.52,0.41,0.68,0.55,0.69,0.91,0.75,0.75,0.8,0.73
nov,-0.01,0.0,-0.12,-0.21,-0.15,-0.03,-0.14,0.12,0.1,0.02,-0.13,0.25,0.18,0.05,-0.05,0.21,0.06,0.11,0.33,0.38,0.11,0.47,0.12,0.23,0.08,0.17,0.49,0.18,0.28,0.47,0.27,0.14,0.29,0.39,0.32,0.41,0.7,0.38,0.21,0.41,0.47,0.4,0.41,0.47,0.42,0.53,0.36,0.41,0.75,0.42,0.51,0.6,0.54,0.54,0.76,0.72,0.54,0.68,0.79
Dec,-0.15,-0.15,-0.08,-0.33,-0.07,-0.02,-0.13,0.05,0.19,0.06,-0.04,0.41,-0.1,0.1,-0.13,0.47,0.04,0.14,0.41,0.34,0.28,0.48,0.23,0.34,0.12,0.21,0.43,0.15,0.4,0.43,0.44,0.22,0.15,0.41,0.24,0.39,0.68,0.35,0.16,0.29,0.46,0.47,0.52,0.57,0.52,0.43,0.22,0.43,0.69,0.39,0.32,0.61,0.56,0.47,0.8,0.69,0.48,0.74,0.79
southern_temp_year,0.03,-0.06,-0.03,-0.2,-0.07,-0.09,-0.08,-0.09,0.14,0.09,-0.02,0.2,0.23,0.03,0.02,0.01,0.24,0.11,0.25,0.35,0.27,0.23,0.38,0.28,0.24,0.23,0.41,0.41,0.28,0.37,0.4,0.31,0.28,0.26,0.32,0.39,0.41,0.51,0.28,0.29,0.43,0.54,0.49,0.41,0.5,0.46,0.47,0.4,0.59,0.55,0.47,0.48,0.55,0.58,0.63,0.73,0.67,0.66,0.75
southern_temp_meteo_year,0.04,-0.06,-0.03,-0.18,-0.09,-0.09,-0.07,-0.11,0.13,0.1,-0.01,0.16,0.27,0.02,0.04,-0.04,0.27,0.11,0.23,0.35,0.28,0.21,0.4,0.27,0.25,0.22,0.39,0.43,0.25,0.37,0.4,0.33,0.28,0.24,0.33,0.38,0.39,0.54,0.3,0.28,0.42,0.54,0.49,0.41,0.5,0.47,0.49,0.39,0.57,0.57,0.48,0.46,0.56,0.58,0.6,0.74,0.69,0.64,0.74
