"Kraj","Miasto","Latitude","Longitude","Indie","Indie_Miasto","I_latitude","I_longitude","Rok","Kwartal","Pasazerowie_do_Indii","Pasazerowie_z_Indii","Fracht_do_Indii","Fracht_z_Indii"
UNITED ARAB EMIRATES,ABUDHABI,24.28,54.22,INDIA,AHMEDABAD,23.02,72.34,2015,Q1,12764,15358,15.5,64.9
UNITED ARAB EMIRATES,ABUDHABI,24.28,54.22,INDIA,BENGALURU,13.370001,77.556,2015,Q1,27341,35988,372.5,442.1
UNITED ARAB EMIRATES,ABUDHABI,24.28,54.22,INDIA,CHENNAI,13.033634,80.14573,2015,Q1,31756,32593,65.8,97.0
UNITED ARAB EMIRATES,ABUDHABI,24.28,54.22,INDIA,DELHI,28.3636,77.1348,2015,Q1,66416,65956,1542.3,1683.5
UNITED ARAB EMIRATES,ABUDHABI,24.28,54.22,INDIA,GOA,15.401944,74.043333,2015,Q1,8408,12593,18.8,0.0
UNITED ARAB EMIRATES,ABUDHABI,24.28,54.22,INDIA,HYDERABAD,17.21576,78.283356,2015,Q1,37265,44645,197.1,562.2
UNITED ARAB EMIRATES,ABUDHABI,24.28,54.22,INDIA,JAIPUR,26.09,75.8,2015,Q1,9437,10859,12.4,42.4
UNITED ARAB EMIRATES,ABUDHABI,24.28,54.22,INDIA,KOCHI,9.966667,76.266667,2015,Q1,34055,41972,33.1,273.9
UNITED ARAB EMIRATES,ABUDHABI,24.28,54.22,INDIA,KOLKATA,22.3422,88.215,2015,Q1,1580,1799,0.5,14.5
UNITED ARAB EMIRATES,ABUDHABI,24.28,54.22,INDIA,KOZHIKODE,11.153452,75.4649,2015,Q1,31618,41032,7.7,480.5
UNITED ARAB EMIRATES,ABUDHABI,24.28,54.22,INDIA,LUCKNOW,26.51,80.5512,2015,Q1,12961,13549,0.4,113.6
UNITED ARAB EMIRATES,ABUDHABI,24.28,54.22,INDIA,MANGALORE,12.52,74.53,2015,Q1,2813,3654,0.0,1.0
UNITED ARAB EMIRATES,ABUDHABI,24.28,54.22,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,65961,80696,1118.2,1940.8
UNITED ARAB EMIRATES,ABUDHABI,24.28,54.22,INDIA,PUNE,18.32,73.51,2015,Q1,161,415,0.0,0.0
UNITED ARAB EMIRATES,ABUDHABI,24.28,54.22,INDIA,TRIVANDRUM,8.3036,76.57,2015,Q1,21249,26012,9.4,225.9
ETHIOPIA,ADDIS ABABA,9.148,38.4424,INDIA,CHENNAI,13.033634,80.14573,2015,Q1,0,0,0.0,92.1
ETHIOPIA,ADDIS ABABA,9.148,38.4424,INDIA,DELHI,28.3636,77.1348,2015,Q1,10849,12192,38.3,37.4
ETHIOPIA,ADDIS ABABA,9.148,38.4424,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,16326,20996,116.0,2622.9
YEMEN,ADEN,12.48,45.02,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,3299,2199,0.0,31.8
UNITED ARAB EMIRATES,AL AIN,24.1227,55.4441,INDIA,KOZHIKODE,11.153452,75.4649,2015,Q1,1574,1945,0.0,0.0
KAZAKHSTAN,ALMATY,43.1639,76.5345,INDIA,DELHI,28.3636,77.1348,2015,Q1,6582,8318,5.7,84.5
NETHERLANDS,AMSTERDAM,52.2222,4.5337,INDIA,CHENNAI,13.033634,80.14573,2015,Q1,0,0,1384.7,899.6
NETHERLANDS,AMSTERDAM,52.2222,4.5337,INDIA,DELHI,28.3636,77.1348,2015,Q1,42570,47771,661.1,1540.1
NETHERLANDS,AMSTERDAM,52.2222,4.5337,INDIA,MUMBAI,19.010288,72.5132,2015,Q1,22640,23140,950.2,1978.6
TURKMENISTAN,ASHGABAT,37.58,58.2,INDIA,AMRITSAR,31.3824,74.5136,2015,Q1,11182,10023,0.0,14.9
TURKMENISTAN,ASHGABAT,37.58,58.2,INDIA,DELHI,28.3636,77.1348,2015,Q1,2540,2374,0.0,29.4
BAHRAIN,BAHRAIN,26.0675,50.55111,INDIA,BENGALURU,13.370001,77.556,2015,Q1,0,0,1.0,0.0
BAHRAIN,BAHRAIN,26.0675,50.55111,INDIA,CHENNAI,13.033634,80.14573,2015,Q1,15610,17569,6.4,180.3
BAHRAIN,BAHRAIN,26.0675,50.55111,INDIA,DELHI,28.3636,77.1348,2015,Q1,31214,32057,80.8,444.5
BAHRAIN,BAHRAIN,26.0675,50.55111,INDIA,HYDERABAD,17.21576,78.283356,2015,Q1,7687,9198,0.4,0.1
